Curricular Area2,Course Launch Date,Total Hours (Thousands),Certified,Female,Male,Institution,Sum of Participants
CS,2012,220.9,1439,25855,103545,HarvardX,129400
CS,2012,884.04,5783,10347,52362,MITx,62709
CS,2013,523.56,4975,9744,47403,MITx,57147
CS,2013,639.4,3313,10468,54912,MITx,65380
CS,2014,40.13,101,4072,21814,MITx,25886
CS,2014,81,1259,1482,10208,MITx,11690
CS,2014,97.28,1502,1591,11557,MITx,13148
CS,2014,188.51,1920,3474,17589,MITx,21063
CS,2014,206.46,2127,3525,17492,MITx,21017
CS,2014,232.93,2307,4056,18092,MITx,22148
CS,2014,853.36,1208,57393,202184,HarvardX,259577
CS,2015,24.59,45,3175,15279,MITx,18454
CS,2015,56.13,406,971,7524,MITx,8495
CS,2015,97.06,377,2033,14061,MITx,16094
CS,2015,126.65,805,1631,13899,MITx,15530
CS,2015,159.01,1656,2177,12658,MITx,14835
CS,2015,167.8,1516,1816,10610,MITx,12426
CS,2015,275.96,1523,67202,233880,HarvardX,301082
CS,2015,485.67,4738,8638,40891,MITx,49529
CS,2015,567.96,3411,10084,44277,MITx,54361
CS,2015,895.01,5243,11587,42377,MITx,53964
GHSS,2012,804.41,5058,22700,29821,HarvardX,52521
GHSS,2013,12.57,0,1963,3894,HarvardX,5857
GHSS,2013,99.29,3321,11005,9909,HarvardX,20914
GHSS,2013,101.36,616,5345,20274,MITx,25619
GHSS,2013,104.37,2407,12787,15597,HarvardX,28384
GHSS,2013,110.67,2743,11323,11856,HarvardX,23179
GHSS,2013,279.22,4607,13430,15614,MITx,29044
GHSS,2014,17.21,598,3819,6513,HarvardX,10332
GHSS,2014,26.71,565,2719,2602,MITx,5321
GHSS,2014,27.85,602,4356,8265,HarvardX,12621
GHSS,2014,34.79,4055,5973,24483,MITx,30456
GHSS,2014,39.34,1266,4863,3393,HarvardX,8256
GHSS,2014,40.6,1494,4517,4493,HarvardX,9010
GHSS,2014,46.04,980,3591,3791,MITx,7382
GHSS,2014,47.9,763,5010,5215,HarvardX,10225
GHSS,2014,58.19,651,4434,9274,HarvardX,13708
GHSS,2014,84.99,1173,5387,5715,MITx,11102
GHSS,2014,108.97,2043,9050,27280,MITx,36330
GHSS,2014,255.4,2184,5878,19722,MITx,25600
GHSS,2014,313.27,1790,5965,25426,MITx,31391
GHSS,2015,3.6,252,707,1543,HarvardX,2250
GHSS,2015,5.33,226,921,1735,HarvardX,2656
GHSS,2015,5.88,379,1812,2279,HarvardX,4091
GHSS,2015,8.35,209,870,1558,HarvardX,2428
GHSS,2015,8.89,277,708,1671,HarvardX,2379
GHSS,2015,10.6,444,926,2728,HarvardX,3654
GHSS,2015,11.95,184,1583,4554,MITx,6137
GHSS,2015,12.86,377,1488,2774,HarvardX,4262
GHSS,2015,13.23,183,3539,5646,HarvardX,9185
GHSS,2015,14.21,616,1675,1397,HarvardX,3072
GHSS,2015,20.36,813,1995,4459,HarvardX,6454
GHSS,2015,20.5,277,1875,3209,MITx,5084
GHSS,2015,21.5,190,2062,2125,MITx,4187
GHSS,2015,27.9,1404,2344,9663,HarvardX,12007
GHSS,2015,29.02,453,1341,3444,HarvardX,4785
GHSS,2015,30.39,436,1052,1547,MITx,2599
GHSS,2015,33.06,574,2945,10228,MITx,13173
GHSS,2015,34.15,404,1919,2003,MITx,3922
GHSS,2015,36.51,241,2497,9711,MITx,12208
GHSS,2015,37.84,638,2599,6667,HarvardX,9266
GHSS,2015,41.5,638,1783,2621,MITx,4404
GHSS,2015,63.24,623,6662,9343,HarvardX,16005
GHSS,2015,64.07,715,6531,18675,MITx,25206
GHSS,2015,64.81,793,6315,12225,HarvardX,18540
GHSS,2015,66.87,594,3717,3947,MITx,7664
GHSS,2015,68.16,2245,5206,10227,HarvardX,15433
GHSS,2015,69.95,1232,11135,30226,MITx,41361
GHSS,2015,77.46,360,3020,4512,MITx,7532
GHSS,2015,82.24,2416,9798,11622,MITx,21420
GHSS,2015,107.06,2685,8556,19869,HarvardX,28425
GHSS,2015,110.41,2689,6704,24076,MITx,30780
GHSS,2015,166.11,1606,11265,11822,MITx,23087
GHSS,2015,316.74,1848,3199,11480,MITx,14679
GHSS,2015,344.95,1392,4804,15192,MITx,19996
GHSS,2015,547.35,1950,5916,25635,MITx,31551
GHSS,2015,648.95,3101,5166,21610,MITx,26776
HHRDE,2013,13.89,0,3816,2630,HarvardX,6446
HHRDE,2013,65.56,728,8431,9173,HarvardX,17604
HHRDE,2013,138.94,1486,8206,8871,MITx,17077
HHRDE,2013,140.72,1395,12081,13792,HarvardX,25873
HHRDE,2013,145.08,3692,19324,28060,HarvardX,47384
HHRDE,2013,154.23,1893,12288,22083,MITx,34371
HHRDE,2013,186.61,5438,23265,35514,HarvardX,58779
HHRDE,2014,2.41,367,1026,1175,HarvardX,2201
HHRDE,2014,3.2,417,775,784,HarvardX,1559
HHRDE,2014,3.28,304,672,603,HarvardX,1275
HHRDE,2014,3.63,376,803,812,HarvardX,1615
HHRDE,2014,6.58,149,1135,776,HarvardX,1911
HHRDE,2014,6.77,510,1172,1138,HarvardX,2310
HHRDE,2014,7.23,0,3093,4063,HarvardX,7156
HHRDE,2014,7.68,153,1585,1235,HarvardX,2820
HHRDE,2014,9.36,391,2155,1698,HarvardX,3853
HHRDE,2014,17.31,775,3663,3641,HarvardX,7304
HHRDE,2014,19.6,388,4730,3955,HarvardX,8685
HHRDE,2014,20.45,1183,3760,4733,HarvardX,8493
HHRDE,2014,22.82,1090,6724,4013,HarvardX,10737
HHRDE,2014,22.93,1505,1685,2977,HarvardX,4662
HHRDE,2014,23.03,1442,1398,2850,HarvardX,4248
HHRDE,2014,23.92,1528,1611,2904,HarvardX,4515
HHRDE,2014,24.76,1686,1874,3382,HarvardX,5256
HHRDE,2014,31.69,1637,2126,3320,HarvardX,5446
HHRDE,2014,33.76,2226,3046,4376,HarvardX,7422
HHRDE,2014,34.82,1788,2667,4086,HarvardX,6753
HHRDE,2014,44.73,1630,6165,9777,MITx,15942
HHRDE,2014,50.33,1480,4600,20969,MITx,25569
HHRDE,2014,51.77,699,7556,5749,HarvardX,13305
HHRDE,2014,54.46,543,3628,3424,MITx,7052
HHRDE,2014,65.35,488,6729,13380,MITx,20109
HHRDE,2014,68.25,2640,5067,7789,HarvardX,12856
HHRDE,2014,101.83,1549,13734,20050,HarvardX,33784
HHRDE,2014,103.05,3942,16820,19985,HarvardX,36805
HHRDE,2014,145.01,2485,14872,20537,HarvardX,35409
HHRDE,2014,159.84,1851,21087,18232,HarvardX,39319
HHRDE,2015,1.08,113,264,247,HarvardX,511
HHRDE,2015,1.18,127,251,241,HarvardX,492
HHRDE,2015,1.85,180,359,343,HarvardX,702
HHRDE,2015,1.95,60,162,353,HarvardX,515
HHRDE,2015,2.02,56,160,262,HarvardX,422
HHRDE,2015,2.03,67,151,234,HarvardX,385
HHRDE,2015,2.27,66,154,307,HarvardX,461
HHRDE,2015,3.11,58,144,283,HarvardX,427
HHRDE,2015,3.16,380,755,710,HarvardX,1465
HHRDE,2015,3.35,443,1907,955,HarvardX,2862
HHRDE,2015,3.4,400,793,690,HarvardX,1483
HHRDE,2015,3.44,92,333,396,HarvardX,729
HHRDE,2015,3.49,191,371,299,HarvardX,670
HHRDE,2015,3.66,145,542,839,HarvardX,1381
HHRDE,2015,4.39,361,1001,731,HarvardX,1732
HHRDE,2015,4.51,330,914,784,HarvardX,1698
HHRDE,2015,4.94,65,319,629,HarvardX,948
HHRDE,2015,4.95,390,1204,881,HarvardX,2085
HHRDE,2015,5.71,502,1603,984,HarvardX,2587
HHRDE,2015,6.13,243,935,667,HarvardX,1602
HHRDE,2015,6.84,112,304,545,HarvardX,849
HHRDE,2015,6.93,189,914,558,HarvardX,1472
HHRDE,2015,7.49,196,1457,1022,HarvardX,2479
HHRDE,2015,8.08,246,1872,1254,HarvardX,3126
HHRDE,2015,9.2,220,2148,1731,HarvardX,3879
HHRDE,2015,10.93,353,3150,1644,HarvardX,4794
HHRDE,2015,11.11,460,2456,1577,HarvardX,4033
HHRDE,2015,11.83,330,949,1226,HarvardX,2175
HHRDE,2015,11.99,471,1793,2725,MITx,4518
HHRDE,2015,12.87,478,1794,2012,HarvardX,3806
HHRDE,2015,18.37,249,1992,2850,HarvardX,4842
HHRDE,2015,20.03,807,4443,3843,HarvardX,8286
HHRDE,2015,20.14,348,3512,1749,HarvardX,5261
HHRDE,2015,25.68,254,2559,3960,HarvardX,6519
HHRDE,2015,36.12,513,4156,11126,MITx,15282
HHRDE,2015,40.5,195,3171,8534,HarvardX,11705
HHRDE,2015,48.23,1258,2064,3800,HarvardX,5864
HHRDE,2015,77.42,498,3020,2704,MITx,5724
HHRDE,2015,83.98,699,3126,9300,MITx,12426
HHRDE,2015,94.63,383,2890,7947,MITx,10837
HHRDE,2015,109.74,1726,13029,17670,HarvardX,30699
STEM,2012,227.55,2082,4946,11717,MITx,16663
STEM,2012,418.94,3003,4232,31873,MITx,36105
STEM,2013,60.99,398,2101,16323,MITx,18424
STEM,2013,68.11,547,2209,6061,MITx,8270
STEM,2013,84.75,817,1204,7532,MITx,8736
STEM,2013,95.14,382,3159,8802,MITx,11961
STEM,2013,117.84,379,2291,19096,MITx,21387
STEM,2013,145.95,1033,2375,12975,MITx,15350
STEM,2013,148.54,1103,1863,14889,MITx,16752
STEM,2013,331,2086,10701,14006,MITx,24707
STEM,2013,380.35,1722,5713,33465,MITx,39178
STEM,2013,399.77,1846,30599,29956,HarvardX,60555
STEM,2013,452.55,1822,6011,29892,MITx,35903
STEM,2013,476.84,3242,12045,16490,MITx,28535
STEM,2014,16.85,12,793,6300,MITx,7093
STEM,2014,18.49,505,2373,4627,MITx,7000
STEM,2014,34.28,101,1013,10870,MITx,11883
STEM,2014,38.86,164,1292,3953,MITx,5245
STEM,2014,39.96,392,1813,3279,MITx,5092
STEM,2014,41.65,136,890,10184,MITx,11074
STEM,2014,55.04,452,2319,5586,MITx,7905
STEM,2014,55.2,269,1530,4324,MITx,5854
STEM,2014,56.9,567,4414,23468,MITx,27882
STEM,2014,59.23,0,4503,6252,MITx,10755
STEM,2014,62.01,333,874,5266,MITx,6140
STEM,2014,81.04,502,1894,9947,MITx,11841
STEM,2014,86.76,502,2045,10894,MITx,12939
STEM,2014,88.43,1583,12796,13290,HarvardX,26086
STEM,2014,129.34,482,2299,16964,MITx,19263
STEM,2014,182.26,940,6579,9048,MITx,15627
STEM,2014,224.14,592,4340,22024,MITx,26364
STEM,2015,3.88,48,99,559,MITx,658
STEM,2015,6.44,63,102,688,MITx,790
STEM,2015,9.8,94,159,1019,MITx,1178
STEM,2015,11.54,31,920,4528,MITx,5448
STEM,2015,14.81,179,307,1768,MITx,2075
STEM,2015,15.61,126,2154,4780,MITx,6934
STEM,2015,17.95,95,623,4943,MITx,5566
STEM,2015,18.64,199,819,5310,MITx,6129
STEM,2015,20.12,320,441,2737,MITx,3178
STEM,2015,21.03,961,2200,4808,HarvardX,7008
STEM,2015,26.27,257,1411,2732,MITx,4143
STEM,2015,28.65,171,643,5503,MITx,6146
STEM,2015,29.49,65,878,2783,MITx,3661
STEM,2015,30.79,113,1387,9239,MITx,10626
STEM,2015,40.32,445,1096,5481,MITx,6577
STEM,2015,41.98,99,1166,3601,MITx,4767
STEM,2015,43.57,209,2537,3188,MITx,5725
STEM,2015,45.06,148,914,9277,MITx,10191
STEM,2015,47.23,333,1170,1690,MITx,2860
STEM,2015,48.98,144,637,6759,MITx,7396
STEM,2015,51.1,66,2010,16722,MITx,18732
STEM,2015,67.6,168,1670,6418,MITx,8088
STEM,2015,67.71,504,25533,23389,HarvardX,48922
STEM,2015,76.36,201,1078,5902,MITx,6980
STEM,2015,83.14,106,3147,8427,MITx,11574
STEM,2015,90.12,789,14571,17139,HarvardX,31710
STEM,2015,98.6,430,3204,4519,MITx,7723
STEM,2015,99.42,202,2719,20109,MITx,22828
STEM,2015,109,4918,11645,17531,HarvardX,29176
STEM,2015,114.85,336,1347,5913,MITx,7260
STEM,2015,121.16,885,2097,11428,MITx,13525
STEM,2015,174.06,591,4819,33300,MITx,38119
STEM,2015,187.44,393,1401,9531,MITx,10932
STEM,2015,217.1,410,3748,18789,MITx,22537
STEM,2015,218.27,658,3716,14550,MITx,18266
